fold name	freq	top1	top5	top10	top15	top20
a.265	2	0.0	0.0	0.0	0.0	0.0
d.53	2	0.5	1.0	1.0	1.0	1.0
d.247	1	0.0	1.0	1.0	1.0	1.0
a.209	1	0.0	0.0	0.0	0.0	0.0
d.365	1	1.0	1.0	1.0	1.0	1.0
a.200	1	1.0	1.0	1.0	1.0	1.0
a.202	1	0.0	0.0	0.0	0.0	0.0
a.203	1	0.0	0.0	0.0	0.0	1.0
a.204	12	0.333333333333	0.333333333333	0.5	0.5	0.666666666667
a.205	1	0.0	0.0	1.0	1.0	1.0
a.206	1	0.0	0.0	0.0	1.0	1.0
a.207	2	0.0	0.0	1.0	1.0	1.0
e.59	1	0.0	1.0	1.0	1.0	1.0
a.295	1	0.0	0.0	0.0	0.0	0.0
a.216	3	0.0	0.333333333333	0.666666666667	1.0	1.0
a.49	1	0.0	1.0	1.0	1.0	1.0
a.48	7	0.285714285714	0.714285714286	0.857142857143	0.857142857143	0.857142857143
d.368	1	0.0	0.0	0.0	0.0	1.0
d.369	3	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.666666666667
a.45	56	0.196428571429	0.553571428571	0.732142857143	0.857142857143	0.875
d.367	4	0.25	0.5	0.5	1.0	1.0
a.47	15	0.333333333333	0.866666666667	1.0	1.0	1.0
a.46	9	0.0	0.0	0.0	0.0	0.0
a.41	3	1.0	1.0	1.0	1.0	1.0
a.40	20	0.45	0.65	0.8	0.8	0.8
a.43	24	0.0	0.166666666667	0.416666666667	0.458333333333	0.625
a.42	6	0.166666666667	0.833333333333	1.0	1.0	1.0
g.29	1	0.0	0.0	0.0	0.0	0.0
g.28	4	1.0	1.0	1.0	1.0	1.0
g.25	1	0.0	0.0	0.0	0.0	1.0
g.24	28	0.0	0.25	0.75	0.785714285714	0.892857142857
g.27	8	0.0	0.0	0.0	0.125	0.125
g.26	1	0.0	0.0	0.0	0.0	0.0
g.21	2	1.0	1.0	1.0	1.0	1.0
g.20	9	0.0	0.333333333333	0.666666666667	0.777777777778	0.777777777778
g.23	3	0.666666666667	1.0	1.0	1.0	1.0
g.22	5	0.0	0.2	0.6	0.8	1.0
d.77	9	0.111111111111	0.333333333333	0.333333333333	0.444444444444	0.555555555556
d.76	7	0.0	0.285714285714	0.428571428571	0.571428571429	0.571428571429
d.75	6	0.333333333333	0.333333333333	0.5	1.0	1.0
d.74	18	0.222222222222	0.777777777778	0.833333333333	0.944444444444	0.944444444444
d.73	12	0.583333333333	0.833333333333	1.0	1.0	1.0
d.72	1	0.0	0.0	0.0	0.0	0.0
d.71	1	0.0	0.0	0.0	0.0	0.0
d.70	2	0.5	0.5	0.5	1.0	1.0
a.275	1	0.0	0.0	1.0	1.0	1.0
a.274	1	0.0	0.0	0.0	0.0	0.0
a.277	2	0.5	0.5	1.0	1.0	1.0
a.276	1	0.0	0.0	0.0	0.0	0.0
a.271	2	0.0	0.0	0.0	0.0	0.0
e.39	3	0.666666666667	1.0	1.0	1.0	1.0
d.79	67	0.238805970149	0.582089552239	0.731343283582	0.776119402985	0.865671641791
d.78	3	0.0	0.0	0.0	0.0	0.0
d.33	5	0.6	0.8	1.0	1.0	1.0
a.97	2	0.0	0.0	0.0	0.0	0.0
a.283	2	0.5	0.5	1.0	1.0	1.0
a.94	1	0.0	0.0	0.0	0.0	0.0
d.108	81	0.185185185185	0.493827160494	0.691358024691	0.802469135802	0.851851851852
d.109	34	0.529411764706	0.764705882353	0.882352941176	0.911764705882	0.970588235294
g.101	5	0.0	0.0	0.0	0.0	0.0
g.100	1	0.0	0.0	0.0	0.0	0.0
f.59	1	0.0	1.0	1.0	1.0	1.0
d.102	2	1.0	1.0	1.0	1.0	1.0
d.103	2	0.5	0.5	1.0	1.0	1.0
d.100	7	0.0	0.0	0.142857142857	0.285714285714	0.285714285714
d.101	16	0.5	0.6875	0.75	0.875	0.875
d.106	9	0.111111111111	0.666666666667	0.666666666667	0.888888888889	0.888888888889
d.107	4	0.0	0.0	0.5	0.5	0.5
d.104	38	0.105263157895	0.315789473684	0.552631578947	0.631578947368	0.763157894737
d.105	3	0.333333333333	0.333333333333	0.333333333333	0.666666666667	0.666666666667
b.5	1	0.0	0.0	1.0	1.0	1.0
d.298	3	0.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667
d.299	1	1.0	1.0	1.0	1.0	1.0
d.35	1	0.0	0.0	0.0	0.0	0.0
d.292	1	0.0	0.0	0.0	0.0	0.0
d.293	1	0.0	0.0	1.0	1.0	1.0
d.290	4	0.5	0.75	1.0	1.0	1.0
d.34	2	0.5	1.0	1.0	1.0	1.0
d.296	2	0.0	0.5	0.5	0.5	0.5
d.297	1	1.0	1.0	1.0	1.0	1.0
d.294	4	0.5	0.5	0.75	0.75	0.75
d.295	1	0.0	0.0	0.0	0.0	0.0
e.12	1	0.0	1.0	1.0	1.0	1.0
e.13	2	0.5	0.5	1.0	1.0	1.0
e.10	4	1.0	1.0	1.0	1.0	1.0
e.11	3	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.666666666667
d.195	1	0.0	0.0	0.0	0.0	0.0
e.17	4	0.25	0.75	0.75	1.0	1.0
d.197	1	1.0	1.0	1.0	1.0	1.0
d.196	1	1.0	1.0	1.0	1.0	1.0
